421 			[-8.54649807e-05  1.99098932e+03  2.09960470e+01  9.45193009e-05]
1987 			[-7.12022667e-04  1.99023916e+03  1.15590691e+00  8.07488192e-04]
j. 			[-1.03646910e-03  1.99014766e+03  7.05968038e-01  1.26345177e-03]
272 			[-2.96484272e-05  1.99496171e+03  9.97658297e+00  3.39679943e-05]
u.s. 			[-2.35724723e-03  1.99093718e+03  5.67789757e-01  2.65712412e-03]
brandeis 			[-2.71805231e-05  1.99677912e+03  1.21077831e+01  2.79345675e-05]
trans 			[ 4.32110307e-05  1.99106043e+03 -8.80144415e+00  7.28568438e-06]
1976 			[-3.28723790e-04  1.98856787e+03  3.79360089e-01  3.58522707e-04]
a. 			[8.25308210e-04 2.00099168e+03 2.95724909e+01 1.87210629e-04]
subordinate 			[-3.72406401e-05  1.99011215e+03  4.65788038e-01  4.08679248e-05]
1981 			[-2.41884017e-04  1.99077824e+03  1.68176343e+00  2.83709813e-04]
1975 			[-1.31959368e-04  1.99146859e+03  5.97642395e-01  1.51972008e-04]
supra 			[-3.47616487e-03  1.98858317e+03  4.70715959e-01  4.22133077e-03]
message 			[-4.81088758e-05  1.99590791e+03  1.00136361e+01  6.00447003e-05]
cong 			[-3.93127568e-05  1.99894632e+03  1.49589176e+01  4.32278233e-05]
january 			[2.50123372e-04 2.00042747e+03 1.39217263e+00 1.87174326e-05]
accompanying 			[-3.58665927e-04  1.99498119e+03  6.50525129e-01  3.82878392e-04]
s. 			[-5.59818916e-04  1.99164080e+03  1.43561639e+00  6.57938224e-04]
1984 			[-4.92260870e-04  1.98899196e+03  1.59693650e+01  5.79711576e-04]
1955 			[-3.04283943e-05  1.99136382e+03  6.96355231e-01  3.72024116e-05]
reformation 			[-5.19782066e-05  1.99684417e+03  1.08821202e+01  5.12090794e-05]
corp. 			[-1.54175847e-04  1.99091118e+03  1.37652399e+01  1.70154245e-04]
f.2d 			[-5.36375799e-04  1.99001639e+03  2.39850812e+01  6.08754439e-04]
d.c. 			[-3.74096770e-04  1.99005626e+03  1.22618066e+01  4.05480773e-04]
cert 			[-8.76607504e-05  1.98997401e+03  2.47629886e+01  9.77359889e-05]
denied 			[-1.42249598e-04  1.99189925e+03  3.85855795e-01  1.57337718e-04]
1974 			[-1.15340355e-04  1.99177721e+03  4.15659673e-01  1.25035306e-04]
ass'n 			[-1.49572211e-04  1.99008496e+03  1.32304114e+01  1.59837350e-04]
co. 			[-3.07669224e-04  1.99089212e+03  1.32331960e+01  3.62683643e-04]
1983 			[-4.16496103e-04  1.99047138e+03  4.62502011e-01  4.54529611e-04]
melnick 			[-5.08851783e-05  1.99153197e+03  1.19490558e+00  5.27771020e-05]
comm'n 			[-6.07228880e-05  1.99083705e+03  1.24799493e+01  6.19410066e-05]
831 			[-3.52463472e-05  1.99003873e+03  2.43113452e+01  4.00905764e-05]
1978 			[-1.73016391e-04  1.99213305e+03  6.52789525e-01  2.12219335e-04]
655 			[-2.33778450e-05  1.99189293e+03  4.15465488e+00  2.83607869e-05]
traced 			[-3.63466345e-05  1.99027457e+03  4.94540684e-01  4.27857164e-05]
yankee 			[-1.86722936e-05  1.99688880e+03  1.13753117e+01  2.10556624e-05]
u.s.a. 			[-3.62055930e-05  1.99099446e+03  2.14935349e+01  4.22539863e-05]
467 			[-9.16135441e-05  1.99054981e+03  4.53531112e+00  1.08737487e-04]
837 			[-4.34513825e-05  1.99090954e+03  1.16732979e+01  5.28481001e-05]
notes 			[-3.56397926e-04  1.99347718e+03  5.65029482e-01  4.27895341e-04]
allen 			[-1.84014285e-04  1.98891400e+03  2.41064370e+01  1.96868855e-04]
468 			[-1.53012867e-04  1.98978004e+03  4.47665260e-01  1.52502092e-04]
1952 			[-1.42377340e-05  1.99452935e+03  3.67675167e+01  1.77438635e-05]
reprinted 			[-3.77559242e-05  1.99569491e+03  4.09071337e+00  4.55955767e-05]
§ 			[-5.16594757e-04  1.99123986e+03  3.19866270e-01  5.79295724e-04]
exec 			[-3.08091252e-05  1.99647055e+03  3.87134927e+01  3.43037903e-05]
olson 			[-3.44409461e-05  1.99499187e+03  1.28548145e+01  4.14961121e-05]
strauss 			[-1.33583134e-04  1.99317256e+03  5.62924280e-01  1.53579289e-04]
§§ 			[-1.12398068e-04  1.99366694e+03  2.65283603e-01  1.08398625e-04]
mashaw 			[-1.20805292e-04  1.99090552e+03  2.85413896e+01  1.31696326e-04]
hassler 			[-3.99276022e-05  1.99193637e+03  1.08978272e+01  4.36026605e-05]
rec 			[-2.08568543e-05  1.99998685e+03  1.75465865e+01  2.09870527e-05]
buckley 			[-5.67892590e-05  1.99541263e+03  4.63791663e+00  5.98397538e-05]
424 			[-8.37895308e-05  1.99015384e+03  3.89315022e-01  8.58145795e-05]
285 			[-2.88713379e-05  1.99211014e+03  9.32125152e-01  3.25432217e-05]
post-new 			[-3.30861527e-05  1.99097752e+03  1.69667604e+01  3.86702816e-05]
expert 			[1.19996316e-04 1.99601885e+03 2.69547789e+01 2.70917064e-05]
optimism 			[1.01754055e-04 1.99983505e+03 3.81588807e-01 4.19051003e-06]
dealers 			[-2.54670090e-05  1.99251512e+03  3.99456587e+01  2.99969503e-05]
elderly 			[3.43525196e-05 1.99846616e+03 6.81678424e-01 5.79110484e-06]
medical 			[1.46608455e-04 1.99399879e+03 2.91866686e-01 1.76994175e-05]
enjoy 			[5.63004926e-05 1.99896836e+03 2.05497815e+01 1.31569909e-05]
entities 			[-8.14278513e-05  1.99101726e+03  1.68802775e+01  9.62108518e-05]
size 			[6.67347675e-05 1.99682843e+03 1.58688097e+01 1.14476413e-05]
notions 			[-1.25540452e-04  1.99175925e+03  6.14780090e-01  1.33980608e-04]
powerfully 			[-3.18679499e-05  1.99213123e+03  6.88637901e+00  3.72555976e-05]
instructions 			[-2.08694078e-04  1.99088675e+03  2.60968917e+01  2.45465118e-04]
